table_id,game_id,player_name,player_type,game_result,game_reason,blind_type,final_hand,beginning_balance,game_start_balance,game_end_balance,game_net_change
38,3701,players_1,AlwaysCallPlayer,won,won_game,None,three_of_kind,100000,100000,100040.0,40.0
38,3702,players_1,AlwaysCallPlayer,won,won_game,None,three_of_kind,100000,100040.0,100080.0,40.0
38,3703,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,100080.0,99570.0,-510.0
38,3704,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,99570.0,99360.0,-210.0
38,3705,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,99360.0,99150.0,-210.0
38,3706,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99150.0,99140.0,-10.0
38,3707,players_1,AlwaysCallPlayer,won,won_game,None,flush,100000,99140.0,99180.0,40.0
38,3708,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99180.0,98570.0,-610.0
38,3709,players_1,AlwaysCallPlayer,lost,lost_game,small,two_pair,100000,98570.0,97860.0,-710.0
38,3710,players_1,AlwaysCallPlayer,lost,lost_game,big,two_pair,100000,97860.0,97850.0,-10.0
38,3711,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,97850.0,97840.0,-10.0
38,3712,players_1,AlwaysCallPlayer,lost,lost_game,None,straight,100000,97840.0,97730.0,-110.0
38,3713,players_1,AlwaysCallPlayer,won,won_game,None,straight,100000,97730.0,100170.0,2440.0
38,3714,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,100170.0,99460.0,-710.0
38,3715,players_1,AlwaysCallPlayer,lost,lost_game,big,high_card,100000,99460.0,99450.0,-10.0
38,3716,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99450.0,99440.0,-10.0
38,3717,players_1,AlwaysCallPlayer,won,won_game,None,one_pair,100000,99440.0,99480.0,40.0
38,3718,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99480.0,99470.0,-10.0
38,3719,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,99470.0,98860.0,-610.0
38,3720,players_1,AlwaysCallPlayer,won,won_game,big,one_pair,100000,98860.0,99700.0,840.0
38,3721,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99700.0,99690.0,-10.0
38,3722,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99690.0,99680.0,-10.0
38,3723,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,99680.0,100595.0,915.0
38,3724,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,100595.0,100485.0,-110.0
38,3725,players_1,AlwaysCallPlayer,won,won_game,big,one_pair,100000,100485.0,100525.0,40.0
38,3726,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,100525.0,99715.0,-810.0
38,3727,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,99715.0,99755.0,40.0
38,3728,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99755.0,99745.0,-10.0
38,3729,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,99745.0,99785.0,40.0
38,3730,players_1,AlwaysCallPlayer,won,won_game,big,one_pair,100000,99785.0,99825.0,40.0
38,3731,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,99825.0,99865.0,40.0
38,3732,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99865.0,99855.0,-10.0
38,3733,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99855.0,99845.0,-10.0
38,3734,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,99845.0,99885.0,40.0
38,3735,players_1,AlwaysCallPlayer,won,won_game,big,high_card,100000,99885.0,99920.0,35.0
38,3736,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,99920.0,99610.0,-310.0
38,3737,players_1,AlwaysCallPlayer,won,won_game,None,three_of_kind,100000,99610.0,99650.0,40.0
38,3738,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99650.0,98840.0,-810.0
38,3739,players_1,AlwaysCallPlayer,lost,lost_game,small,two_pair,100000,98840.0,98830.0,-10.0
38,3740,players_1,AlwaysCallPlayer,won,won_game,big,three_of_kind,100000,98830.0,98870.0,40.0
38,3741,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,98870.0,98060.0,-810.0
38,3742,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,98060.0,98062.5,2.5
38,3743,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,98062.5,97852.5,-210.0
38,3744,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,97852.5,97842.5,-10.0
38,3745,players_1,AlwaysCallPlayer,won,won_game,big,two_pair,100000,97842.5,97882.5,40.0
38,3746,players_1,AlwaysCallPlayer,won,won_game,None,one_pair,100000,97882.5,97922.5,40.0
38,3747,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,97922.5,97912.5,-10.0
38,3748,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,97912.5,97952.5,40.0
38,3749,players_1,AlwaysCallPlayer,won,won_game,small,straight,100000,97952.5,97992.5,40.0
38,3750,players_1,AlwaysCallPlayer,won,won_game,big,one_pair,100000,97992.5,98032.5,40.0
38,3751,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,98032.5,97922.5,-110.0
38,3752,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,97922.5,97212.5,-710.0
38,3753,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,97212.5,97002.5,-210.0
38,3754,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,97002.5,96992.5,-10.0
38,3755,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,96992.5,96682.5,-310.0
38,3756,players_1,AlwaysCallPlayer,won,won_game,None,straight,100000,96682.5,96722.5,40.0
38,3757,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,96722.5,96712.5,-10.0
38,3758,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,96712.5,96752.5,40.0
38,3759,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,96752.5,96742.5,-10.0
38,3760,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,96742.5,96732.5,-10.0
38,3761,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,96732.5,96722.5,-10.0
38,3762,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,96722.5,96712.5,-10.0
38,3763,players_1,AlwaysCallPlayer,won,won_game,None,flush,100000,96712.5,97027.5,315.0
38,3764,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,97027.5,97017.5,-10.0
38,3765,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,97017.5,97007.5,-10.0
38,3766,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,97007.5,96997.5,-10.0
38,3767,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,96997.5,96687.5,-310.0
38,3768,players_1,AlwaysCallPlayer,won,won_game,None,one_pair,100000,96687.5,96727.5,40.0
38,3769,players_1,AlwaysCallPlayer,lost,lost_game,small,two_pair,100000,96727.5,95917.5,-810.0
38,3770,players_1,AlwaysCallPlayer,lost,lost_game,big,high_card,100000,95917.5,95907.5,-10.0
38,3771,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,95907.5,95497.5,-410.0
