table_id,game_id,player_name,player_type,game_result,game_reason,blind_type,final_hand,beginning_balance,game_start_balance,game_end_balance,game_net_change
35,3401,players_1,AlwaysCallPlayer,won,won_game,None,full_house,100000,100000,100440.0,440.0
35,3402,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,100440.0,100430.0,-10.0
35,3403,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100430.0,100420.0,-10.0
35,3404,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,100420.0,100410.0,-10.0
35,3405,players_1,AlwaysCallPlayer,lost,lost_game,big,two_pair,100000,100410.0,99900.0,-510.0
35,3406,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99900.0,99190.0,-710.0
35,3407,players_1,AlwaysCallPlayer,won,won_game,None,three_of_kind,100000,99190.0,99230.0,40.0
35,3408,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,99230.0,99220.0,-10.0
35,3409,players_1,AlwaysCallPlayer,lost,lost_game,small,two_pair,100000,99220.0,99210.0,-10.0
35,3410,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,99210.0,99200.0,-10.0
35,3411,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99200.0,99190.0,-10.0
35,3412,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,99190.0,99180.0,-10.0
35,3413,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99180.0,98770.0,-410.0
35,3414,players_1,AlwaysCallPlayer,lost,lost_game,small,two_pair,100000,98770.0,98760.0,-10.0
35,3415,players_1,AlwaysCallPlayer,won,won_game,big,straight,100000,98760.0,100400.0,1640.0
35,3416,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,100400.0,100390.0,-10.0
35,3417,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,100390.0,100380.0,-10.0
35,3418,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100380.0,100370.0,-10.0
35,3419,players_1,AlwaysCallPlayer,lost,lost_game,small,two_pair,100000,100370.0,100360.0,-10.0
35,3420,players_1,AlwaysCallPlayer,won,won_game,big,straight,100000,100360.0,100395.0,35.0
35,3421,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,100395.0,100385.0,-10.0
35,3422,players_1,AlwaysCallPlayer,won,won_game,None,flush,100000,100385.0,100437.5,52.5
35,3423,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,100437.5,100427.5,-10.0
35,3424,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,100427.5,99617.5,-810.0
35,3425,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,99617.5,99607.5,-10.0
35,3426,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99607.5,99597.5,-10.0
35,3427,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,99597.5,99587.5,-10.0
35,3428,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99587.5,99577.5,-10.0
35,3429,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,99577.5,99167.5,-410.0
35,3430,players_1,AlwaysCallPlayer,won,won_game,big,flush,100000,99167.5,99207.5,40.0
35,3431,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,99207.5,99197.5,-10.0
35,3432,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99197.5,99187.5,-10.0
35,3433,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99187.5,98977.5,-210.0
35,3434,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,98977.5,99017.5,40.0
35,3435,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,99017.5,99007.5,-10.0
35,3436,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99007.5,98997.5,-10.0
35,3437,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,98997.5,98387.5,-610.0
35,3438,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,98387.5,98427.5,40.0
35,3439,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,98427.5,99667.5,1240.0
35,3440,players_1,AlwaysCallPlayer,lost,lost_game,big,two_pair,100000,99667.5,99657.5,-10.0
35,3441,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99657.5,99647.5,-10.0
35,3442,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,99647.5,100487.5,840.0
35,3443,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100487.5,99877.5,-610.0
35,3444,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,99877.5,99867.5,-10.0
35,3445,players_1,AlwaysCallPlayer,lost,lost_game,big,high_card,100000,99867.5,99657.5,-210.0
35,3446,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99657.5,99047.5,-610.0
35,3447,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99047.5,98937.5,-110.0
35,3448,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,98937.5,98927.5,-10.0
35,3449,players_1,AlwaysCallPlayer,lost,lost_game,small,two_pair,100000,98927.5,98117.5,-810.0
35,3450,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,98117.5,98107.5,-10.0
35,3451,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,98107.5,98097.5,-10.0
35,3452,players_1,AlwaysCallPlayer,won,won_game,None,full_house,100000,98097.5,98137.5,40.0
35,3453,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,98137.5,98127.5,-10.0
35,3454,players_1,AlwaysCallPlayer,won,won_game,small,flush,100000,98127.5,98167.5,40.0
35,3455,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,98167.5,98157.5,-10.0
35,3456,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,98157.5,98147.5,-10.0
35,3457,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,98147.5,98187.5,40.0
35,3458,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,98187.5,98077.5,-110.0
