table_id,game_id,player_name,player_type,game_result,game_reason,blind_type,final_hand,beginning_balance,game_start_balance,game_end_balance,game_net_change
10,901,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,100000,100010.0,10.0
10,902,players_1,AlwaysCallPlayer,won,last_man_standing,big,one_pair,100000,100010.0,100020.0,10.0
10,903,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,100020.0,99710.0,-310.0
10,904,players_1,AlwaysCallPlayer,lost,lost_game,big,high_card,100000,99710.0,99700.0,-10.0
10,905,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,99700.0,99710.0,10.0
10,906,players_1,AlwaysCallPlayer,won,last_man_standing,big,two_pair,100000,99710.0,99720.0,10.0
10,907,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,99720.0,99510.0,-210.0
10,908,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,99510.0,99400.0,-110.0
10,909,players_1,AlwaysCallPlayer,won,won_game,small,straight,100000,99400.0,99410.0,10.0
10,910,players_1,AlwaysCallPlayer,won,last_man_standing,big,two_pair,100000,99410.0,99420.0,10.0
10,911,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,99420.0,99430.0,10.0
10,912,players_1,AlwaysCallPlayer,won,last_man_standing,big,three_of_kind,100000,99430.0,99440.0,10.0
10,913,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,99440.0,99450.0,10.0
10,914,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,99450.0,99240.0,-210.0
10,915,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,99240.0,99240.0,0.0
10,916,players_1,AlwaysCallPlayer,won,last_man_standing,big,high_card,100000,99240.0,99250.0,10.0
10,917,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,99250.0,98440.0,-810.0
10,918,players_1,AlwaysCallPlayer,won,last_man_standing,big,high_card,100000,98440.0,98450.0,10.0
10,919,players_1,AlwaysCallPlayer,lost,lost_game,small,three_of_kind,100000,98450.0,97840.0,-610.0
10,920,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,97840.0,97730.0,-110.0
10,921,players_1,AlwaysCallPlayer,won,won_game,small,high_card,100000,97730.0,97740.0,10.0
10,922,players_1,AlwaysCallPlayer,lost,lost_game,big,high_card,100000,97740.0,97530.0,-210.0
10,923,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,97530.0,97740.0,210.0
10,924,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,97740.0,97730.0,-10.0
10,925,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,97730.0,97740.0,10.0
10,926,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,97740.0,97630.0,-110.0
10,927,players_1,AlwaysCallPlayer,won,won_game,small,straight,100000,97630.0,97640.0,10.0
10,928,players_1,AlwaysCallPlayer,won,last_man_standing,big,two_pair,100000,97640.0,97650.0,10.0
10,929,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,97650.0,97660.0,10.0
10,930,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,97660.0,97450.0,-210.0
10,931,players_1,AlwaysCallPlayer,won,won_game,small,flush,100000,97450.0,97460.0,10.0
10,932,players_1,AlwaysCallPlayer,won,last_man_standing,big,one_pair,100000,97460.0,97470.0,10.0
10,933,players_1,AlwaysCallPlayer,won,won_game,small,flush,100000,97470.0,98080.0,610.0
10,934,players_1,AlwaysCallPlayer,won,last_man_standing,big,one_pair,100000,98080.0,98090.0,10.0
10,935,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,98090.0,98100.0,10.0
10,936,players_1,AlwaysCallPlayer,won,last_man_standing,big,high_card,100000,98100.0,98110.0,10.0
10,937,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,98110.0,98120.0,10.0
10,938,players_1,AlwaysCallPlayer,won,last_man_standing,big,one_pair,100000,98120.0,98130.0,10.0
10,939,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,98130.0,98140.0,10.0
10,940,players_1,AlwaysCallPlayer,won,last_man_standing,big,one_pair,100000,98140.0,98150.0,10.0
10,941,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,98150.0,98160.0,10.0
10,942,players_1,AlwaysCallPlayer,won,last_man_standing,big,one_pair,100000,98160.0,98170.0,10.0
10,943,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,98170.0,98160.0,-10.0
10,944,players_1,AlwaysCallPlayer,won,last_man_standing,big,two_pair,100000,98160.0,98170.0,10.0
10,945,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,98170.0,98380.0,210.0
10,946,players_1,AlwaysCallPlayer,lost,lost_game,big,high_card,100000,98380.0,98370.0,-10.0
10,947,players_1,AlwaysCallPlayer,won,won_game,small,flush,100000,98370.0,98380.0,10.0
10,948,players_1,AlwaysCallPlayer,won,last_man_standing,big,one_pair,100000,98380.0,98390.0,10.0
10,949,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,98390.0,98400.0,10.0
10,950,players_1,AlwaysCallPlayer,lost,lost_game,big,high_card,100000,98400.0,98090.0,-310.0
10,951,players_1,AlwaysCallPlayer,won,won_game,small,one_pair,100000,98090.0,98100.0,10.0
10,952,players_1,AlwaysCallPlayer,won,won_game,big,two_pair,100000,98100.0,98110.0,10.0
10,953,players_1,AlwaysCallPlayer,won,won_game,small,high_card,100000,98110.0,98120.0,10.0
10,954,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,98120.0,98010.0,-110.0
10,955,players_1,AlwaysCallPlayer,won,won_game,small,flush,100000,98010.0,98020.0,10.0
10,956,players_1,AlwaysCallPlayer,won,won_game,big,two_pair,100000,98020.0,98030.0,10.0
